text,buy_inten,inten_level,cat
Can you suggest a good set of dinnerware?,1,3.0,Home & Kitchen
"Hello, I'm looking to revamp my kitchen. Any ideas?",1,2.0,Home & Kitchen
Can you recommend some trendy home decor items on Amazon?,1,4.0,Home & Kitchen
What's the best-selling kitchen gadget right now?,1,3.0,Home & Kitchen
"I need a new set of kitchen knives, any suggestions?",1,4.0,Home & Kitchen
Looking for a stylish yet affordable bookshelf.,1,4.0,Home & Kitchen
Could you help me find the latest in smart home devices?,1,3.0,Home & Kitchen
I want to buy a new coffee machine that's top-rated. Any ideas?,1,4.0,Home & Kitchen
Is there a good deal on Amazon for kitchen storage containers?,1,2.0,Home & Kitchen
Any recommendations on eco-friendly home cleaning products?,1,4.0,Home & Kitchen
I heard about a new blender that's perfect for smoothies. Know anything about it?,1,4.0,Home & Kitchen
What are the top rated microwave ovens on Amazon right now?,1,4.0,Home & Kitchen
"Looking for a gift, something unique for the kitchen perhaps?",1,3.0,Home & Kitchen
"Need a new rice cooker, one with good reviews. Help?",1,4.0,Home & Kitchen
Can you find me the best deals on air fryers?,1,4.0,Home & Kitchen
"I'm redecorating my living room, any modern furniture suggestions?",1,3.0,Home & Kitchen
"Just moved and need a complete set of dinnerware, any recommendations?",1,4.0,Home & Kitchen
What kind of wall art is popular these days?,1,2.0,Home & Kitchen
I'm looking for a high-quality but affordable table lamp.,1,4.0,Home & Kitchen
Do you have any suggestions for spice racks with good customer reviews?,1,4.0,Home & Kitchen
I need a new bedding set that's hypoallergenic. Any top picks?,1,4.0,Home & Kitchen
"Good morning, can you help me find some modern wall art for my living room?",1,4.0,Home & Kitchen
"Hi there! I'm in need of some new kitchen utensils, any ideas?",1,4.0,Home & Kitchen
Could you recommend a durable set of knives that won't break the bank?,1,3.0,Home & Kitchen
"I'm looking for a spice rack organizer, do you know where I can find one?",1,2.0,Home & Kitchen
"Hello, I'm interested in buying a new bedding set, any suggestions?",1,4.0,Home & Kitchen
"I need a new coffee table, preferably something modern and sleek. Any recommendations?",1,4.0,Home & Kitchen
"Looking for a gift for a home chef, any popular gadgets on Amazon right now?",1,3.0,Home & Kitchen
Do you know if there are any good deals on food storage containers?,1,2.0,Home & Kitchen
"Hi, can you help me find a lamp that's good for reading?",1,4.0,Home & Kitchen
"I'm trying to find a good air purifier, do you have any recommendations?",1,4.0,Home & Kitchen
What's a good pillow for neck pain available on Amazon?,1,3.0,Home & Kitchen
Can you find me a sturdy bookshelf that's not too bulky?,1,4.0,Home & Kitchen
"I need a new set of curtains for my bedroom, any particular brands to look for?",1,4.0,Home & Kitchen
Is there a multifunctional furniture piece that can work as both a desk and a dining table?,1,4.0,Home & Kitchen
"Looking for a budget-friendly yet stylish area rug, any suggestions?",1,4.0,Home & Kitchen
What are the best organizers for a small kitchen on Amazon?,1,4.0,Home & Kitchen
Do you have any eco-friendly home cleaning products to recommend?,1,3.0,Home & Kitchen
Can you suggest a good gift for someone who loves cooking?,1,2.0,Home & Kitchen
"I'm redecorating my home office, any trendy decor items I should look at?",1,4.0,Home & Kitchen
"Hey, what's the latest in smart home gadgets for the kitchen?",1,4.0,Home & Kitchen
"Good morning, I need some help with finding kitchen gadgets.",1,3.0,Home & Kitchen
Can you recommend the best vacuum cleaners available on Amazon?,1,4.0,Home & Kitchen
"I'm thinking of redecorating my living room, any trendy decor suggestions?",1,2.0,Home & Kitchen
What's the latest in smart home devices?,1,4.0,Home & Kitchen
"I need a new set of pots and pans, what do you recommend?",1,4.0,Home & Kitchen
"Looking for a gift that's perfect for a home chef, any ideas?",1,3.0,Home & Kitchen
Do you have any eco-friendly storage solutions?,1,4.0,Home & Kitchen
What are the top-rated blenders for making smoothies?,1,4.0,Home & Kitchen
"I'm looking for luxury bedding, any recommendations?",1,4.0,Home & Kitchen
Can you help me find some modern art pieces for my walls?,1,3.0,Home & Kitchen
What's the best air fryer under $100?,1,4.0,Home & Kitchen
"I need a new coffee table, something unique. Any suggestions?",1,4.0,Home & Kitchen
"Looking for a durable dinnerware set, what do you think?",1,4.0,Home & Kitchen
Can you find me a deal on a high-quality chef's knife?,1,4.0,Home & Kitchen
I'm curious about the latest trends in kitchen appliances.,1,2.0,Home & Kitchen
Could you suggest a spice rack that saves space?,1,3.0,Home & Kitchen
"I'm looking for a new rug that's pet friendly, any ideas?",1,4.0,Home & Kitchen
"Need a new lamp for my study, something modern but functional.",1,4.0,Home & Kitchen
What's the best type of pillow for neck pain available on Amazon?,1,4.0,Home & Kitchen
"I heard about robotic vacuum cleaners, can you tell me more?",1,2.0,Home & Kitchen
"Hello there, I'm looking to redecorate my living room, any ideas?",0,0.0,General
Can you recommend some modern wall art from Amazon?,1,3.0,Home & Kitchen
"I need a new set of kitchen knives, preferably stainless steel. Any suggestions?",1,4.0,Home & Kitchen
What's the best selling toaster on Amazon right now?,1,2.0,Home & Kitchen
Could you find me a stylish yet affordable rug?,1,4.0,Home & Kitchen
"I'm thinking about buying a new blender, any deals available?",1,4.0,Home & Kitchen
"Hey, do you have any recommendations for eco-friendly storage containers?",1,3.0,Home & Kitchen
I'm curious about the latest trends in home decor. Can you update me?,0,0.0,General
Looking for a gift that's perfect for a home chef. Any ideas?,1,2.0,Home & Kitchen
Can you help me find a compact air fryer for my small kitchen?,1,4.0,Home & Kitchen
Is there a good deal on pillow covers that match minimalist decor?,1,3.0,Home & Kitchen
I heard about smart kitchen gadgets. What can you tell me about them?,0,0.0,General
Are there any discounts on Amazon for home storage solutions?,0,0.0,General
I'd love a new coffee table book on interior design. Seen anything interesting?,1,2.0,Home & Kitchen
What are some popular organizers for a small pantry?,1,4.0,Home & Kitchen
Can you find a durable and stylish doormat?,1,3.0,Home & Kitchen
"I'm hosting a dinner party and need new tableware, can you assist?",1,4.0,Home & Kitchen
Good morning! I'm in search of a new lamp for my bedside table.,1,4.0,Home & Kitchen
"I'm looking for eco-friendly drapes for my bedroom, any recommendations?",1,4.0,Home & Kitchen
Can you help me find a vintage clock for my study?,1,4.0,Home & Kitchen
Good morning! I’m looking to redecorate my living room.,1,2.0,Home & Kitchen
Can you help me find some stylish yet affordable kitchen storage solutions?,1,4.0,Home & Kitchen
I need a new set of chef's knives. Any suggestions?,1,4.0,Home & Kitchen
"Hi, do you think a smart coffee maker is worth the investment?",0,0.0,Home & Kitchen
What’s the best selling sofa on Amazon right now?,1,3.0,Home & Kitchen
Looking for a gift that fits a small kitchen. Any ideas?,1,3.0,Home & Kitchen
Could you compare prices for wall art between Amazon and other online stores?,0,0.0,Home & Kitchen
"I’m curious, are there any eco-friendly home products available?",0,0.0,Home & Kitchen
Can you find me the top-rated food processors on Amazon?,1,4.0,Home & Kitchen
"Hey, what do you think about these copper mugs I found on Amazon?",0,0.0,Home & Kitchen
Do you have any deals on high-quality bed sheets?,1,4.0,Home & Kitchen
I heard about a new gadget for the kitchen. Can you find it on Amazon?,1,2.0,Home & Kitchen
"Hello, can I get some help finding a birthday present for my mom?",1,3.0,General
I'm trying to find the best blender for smoothies. Any recommendations?,1,4.0,Home & Kitchen
Is there a warranty on kitchen appliances bought through Amazon?,0,0.0,Home & Kitchen
Need a new microwave that’s easy to clean. What do you suggest?,1,4.0,Home & Kitchen
Can you find me a minimalist table lamp for under $50?,1,4.0,Home & Kitchen
I'm looking for a new carpet that's pet friendly. Any suggestions?,1,4.0,Home & Kitchen
I need a reliable food storage set. What are the best options?,1,4.0,Home & Kitchen
Should I buy a ceramic or stainless steel cookware set?,1,3.0,Home & Kitchen
"Hello, I'm interested in updating my kitchen tools. Any suggestions?",1,3.0,Home & Kitchen
Can you find me some modern wall art for my living room?,1,4.0,Home & Kitchen
"I need a new set of chef knives, preferably under $100.",1,4.0,Home & Kitchen
What's the best selling storage solution for small apartments?,1,4.0,Home & Kitchen
Just browsing for some eco-friendly home decor. Any ideas?,1,2.0,Home & Kitchen
Is there a discount on kitchen gadgets today?,1,4.0,Home & Kitchen
Could you help find a durable tablecloth for daily use?,1,3.0,Home & Kitchen
I heard about smart kitchen appliances. Do you have any recommendations?,1,4.0,Home & Kitchen
Looking for a gift in the home and kitchen section. Any trending items?,1,2.0,Home & Kitchen
Need a new blender that can handle daily smoothie making. Any robust models?,1,4.0,Home & Kitchen
How's it going?,0,0.0,General
Can you check if there are any sales on Amazon for kitchen items?,1,3.0,Home & Kitchen
I'm looking for the latest in coffee makers. What do you recommend?,1,4.0,Home & Kitchen
"I need some new decor to spruce up my home office, any ideas?",1,3.0,Home & Kitchen
Do you have tips on choosing the right air fryer?,1,4.0,Home & Kitchen
"I'm looking to purchase a high-quality juicer, what are my options?",1,4.0,Home & Kitchen
Can I get some help finding a new microwave that fits a small kitchen?,1,4.0,Home & Kitchen
"I'm redecorating, and I need some minimalist furniture pieces. Any suggestions?",1,3.0,Home & Kitchen
What's the latest trend in kitchen storage solutions?,1,3.0,Home & Kitchen
"Good morning, could you assist me in finding some new bedding?",1,2.0,Home & Kitchen
Hi there!,0,0.0,General
Can you help me find the best kitchen blenders on sale right now?,1,4.0,Home & Kitchen
I'm interested in some new decorations for my living room.,1,4.0,Home & Kitchen
"I need a new set of cookware, any suggestions?",1,4.0,Home & Kitchen
Looking for a gift that's perfect for a kitchen enthusiast.,1,4.0,Home & Kitchen
Do you have any deals on air fryers?,1,4.0,Home & Kitchen
I'm just browsing right now.,0,0.0,General
Could you show me some trendy table lamps?,1,3.0,Home & Kitchen
What's the best storage solution for a small apartment?,1,4.0,Home & Kitchen
"I need to replace my knife set, any recommendations?",1,4.0,Home & Kitchen
"I heard about some eco-friendly kitchen products, can you find those?",1,4.0,Home & Kitchen
Are there any good discounts on home office supplies?,1,3.0,Home & Kitchen
Can you recommend a durable set of dinnerware?,1,4.0,Home & Kitchen
"I'm looking for a new bedding set, what do you have?",1,4.0,Home & Kitchen
Find me the top reviewed vacuum cleaners under $200.,1,5.0,Home & Kitchen
Is there a sale on kitchen appliances coming up?,1,2.0,Home & Kitchen
I need a new rug for the dining room.,1,4.0,Home & Kitchen
Goodbye and thanks for the help!,0,0.0,General
"Hello, I need some new kitchen gadgets. Any ideas?",1,4.0,Home & Kitchen
"Good morning, could you assist me with finding some modern home decor on Amazon?",1,4.0,Home & Kitchen
Can you find me a deal on storage solutions for small apartments?,1,4.0,Home & Kitchen
"I'm thinking of redecorating my living room, any trendy suggestions?",1,3.0,Home & Kitchen
What's the best-selling coffee maker right now?,1,4.0,Home & Kitchen
"I heard air fryers are useful, do you recommend any?",1,4.0,Home & Kitchen
"Looking for eco-friendly cleaning supplies, any brands to look at?",1,3.0,Home & Kitchen
"Need a new set of chef's knives, what are the top choices?",1,4.0,Home & Kitchen
Can you help me compare prices for robotic vacuum cleaners?,1,4.0,Home & Kitchen
Is there a sale on luxury bed linens?,1,2.0,Home & Kitchen
"Good day, are there any new arrivals in kitchen appliances?",1,2.0,Home & Kitchen
"I need a birthday gift for my mom, perhaps something for her garden?",1,3.0,Home & Kitchen
"Hi there, can I get assistance with finding a high-quality blender?",1,4.0,Home & Kitchen
"Looking for a durable and stylish area rug, any recommendations?",1,4.0,Home & Kitchen
Can you show me some popular wall art pieces?,1,2.0,Home & Kitchen
"I'm searching for a gift that can be used in the kitchen, any ideas?",1,3.0,Home & Kitchen
Could you find me a sturdy bookshelf for my study?,1,4.0,Home & Kitchen
What are the latest trends in home lighting?,1,2.0,Home & Kitchen
"I need to update my kitchen utensils, can you help?",1,4.0,Home & Kitchen
Where can I find affordable yet stylish curtains?,1,3.0,Home & Kitchen
"Hello, can you help me find some modern wall art for my living room?",1,3.0,Home & Kitchen
I'm in the market for a new set of kitchen knives. Any suggestions?,1,4.0,Home & Kitchen
"Hi, I was wondering if you could assist me with finding some stylish storage boxes?",1,4.0,Home & Kitchen
Can you recommend a good spice rack that mounts on the wall?,1,4.0,Home & Kitchen
I need a new tablecloth that's easy to clean. Any ideas?,1,4.0,Home & Kitchen
What's the best selling coffee maker on Amazon right now?,1,4.0,Home & Kitchen
"Looking for a gift for a home chef, any recommendations?",1,2.0,Home & Kitchen
I heard about some eco-friendly kitchen products. Can you show me some?,1,3.0,Home & Kitchen
"I'm redoing my kitchen, need some modern appliances. What do you have?",1,4.0,Home & Kitchen
Can you find me the top-rated air fryers?,1,4.0,Home & Kitchen
"Good morning, ready to help me shop?",0,0.0,General
"Just browsing today, but might ask for help later.",0,0.0,General
Can you tell me how I can check reviews for products?,0,0.0,General
Is there a sale coming up on home goods?,0,0.0,General
Could you explain Amazon Prime benefits?,0,0.0,General
How do I return an item that I bought last week?,0,0.0,General
Can I change the delivery address after placing the order?,0,0.0,General
Is there a warranty on electrical kitchen gadgets?,1,2.0,Home & Kitchen
I'm thinking about buying a new blender. Any deals on high-quality ones?,1,4.0,Home & Kitchen
"Good morning, could you help me find the best kitchen blenders available on Amazon?",1,4.0,Home & Kitchen
"Hey, I heard about some cool new gadgets for the home. Know anything about them?",1,2.0,Home & Kitchen
Can you recommend a stylish yet affordable wall decor?,1,4.0,Home & Kitchen
I'm in need of new storage solutions that can save space in my small apartment.,1,4.0,Home & Kitchen
What's the best seller in kitchen storage on Amazon right now?,1,3.0,Home & Kitchen
I'd like to see some options for coffee makers with a grinder. Any ideas?,1,4.0,Home & Kitchen
"Hi, do you have any budget-friendly kitchen gadgets that make cooking easier?",1,4.0,Home & Kitchen
Could you find me some deals on home decor items?,1,3.0,Home & Kitchen
"I need a new set of pots and pans, preferably non-stick. Any recommendations?",1,4.0,Home & Kitchen
"Looking for a gift in the home and kitchen category, something unique. Any suggestions?",1,2.0,Home & Kitchen
Can you help me find a high-quality yet affordable kitchen knife set?,1,4.0,Home & Kitchen
I'm interested in purchasing some smart home devices to upgrade my kitchen. What do you have?,1,3.0,Home & Kitchen
Hi there! I'm looking for some trendy and functional kitchen utensils. Any ideas?,1,4.0,Home & Kitchen
"I need a new rug for my living room, something that's easy to clean and looks great. Any tips?",1,4.0,Home & Kitchen
Can you show me some popular organizers that fit in kitchen cabinets?,1,4.0,Home & Kitchen
"I'm redecorating my home office, need some stylish yet functional items. What do you recommend?",1,4.0,Home & Kitchen
Which are the best-reviewed kitchen scales on Amazon?,1,3.0,Home & Kitchen
I'm curious about the latest trends in kitchen appliances. Can you update me?,1,2.0,Home & Kitchen
Need a new microwave that fits in a small kitchen space. Any suggestions?,1,4.0,Home & Kitchen
"Looking for a birthday gift, something for someone who loves cooking. Any ideas?",1,2.0,Home & Kitchen
"Hello, can you help me find some trendy kitchen gadgets on Amazon?",1,4.0,Home & Kitchen
I'm interested in buying new storage solutions for my home. Any ideas?,1,4.0,Home & Kitchen
"Good morning, could you recommend some stylish home decor?",1,3.0,Home & Kitchen
I need a new blender that can handle daily use. What do you suggest?,1,4.0,Home & Kitchen
Can you find me some affordable pots and pans?,1,4.0,Home & Kitchen
What's the best coffee maker available on Amazon right now?,1,5.0,Home & Kitchen
I'm looking for a gift that's suitable for a housewarming party.,1,2.0,Home & Kitchen
I heard about smart kitchen appliances. Can you provide more information?,1,4.0,Home & Kitchen
Do you have any deals on large decorative mirrors?,1,3.0,Home & Kitchen
I'm searching for the latest in eco-friendly kitchen products. Any suggestions?,1,4.0,Home & Kitchen
Can you help me find a multipurpose kitchen stand?,1,4.0,Home & Kitchen
"Hi there, looking for some cool new gadgets for my kitchen!",1,4.0,Home & Kitchen
"Need a new set of sharp kitchen knives, what do you recommend?",1,4.0,Home & Kitchen
Looking for a budget-friendly yet stylish table runner.,1,3.0,Home & Kitchen
What are the top-rated food processors available?,1,5.0,Home & Kitchen
Can you find me a good deal on a new toaster?,1,4.0,Home & Kitchen
I need a modern yet functional desk lamp.,1,4.0,Home & Kitchen
Looking for the best prices on high-quality bedding.,1,4.0,Home & Kitchen
Can you suggest some durable and stylish kitchen mats?,1,3.0,Home & Kitchen
"Hi, can you assist me in finding some unique wall art for my living room?",1,4.0,Home & Kitchen
"Hello, I need some new kitchen tools. Any suggestions?",1,4.0,Home & Kitchen
Can you find me the best deals on ceramic vases?,1,3.0,Home & Kitchen
"Good morning, could you help me choose some stylish curtains?",1,2.0,Home & Kitchen
"I'm planning to redecorate my living room, need some modern furniture ideas.",1,4.0,Home & Kitchen
What's the latest in smart home gadgets?,1,3.0,Home & Kitchen
"Hey, do you have any budget-friendly kitchen appliance recommendations?",1,4.0,Home & Kitchen
Could you find me some eco-friendly storage solutions for my kitchen?,1,4.0,Home & Kitchen
"I heard about bamboo kitchen utensils, can you show me some?",1,4.0,Home & Kitchen
"I'm looking for a gift for a friend who loves cooking, any unique finds?",1,4.0,Home & Kitchen
Can you help me find the top-rated blenders?,1,4.0,Home & Kitchen
"Hi there, I want some new decor to spice up my home office.",1,3.0,Home & Kitchen
"Looking for some modern yet affordable table lamps, got any in mind?",1,4.0,Home & Kitchen
"Need a new set of cookware, preferably non-stick. Suggestions?",1,4.0,Home & Kitchen
What are the best options for pillow covers on Amazon?,1,3.0,Home & Kitchen
Can you recommend a good air purifier that's effective but not too pricey?,1,4.0,Home & Kitchen
"Hi, I need a new rug for my living room, preferably hand-woven.",1,4.0,Home & Kitchen
"I'm looking to buy some smart light bulbs, which ones are the best?",1,4.0,Home & Kitchen
"Hey, can you find me a good deal on a new microwave?",1,4.0,Home & Kitchen
"I'm in the market for a new toaster with wide slots, any recommendations?",1,4.0,Home & Kitchen
"Looking for a durable and stylish dish rack, can you help?",1,4.0,Home & Kitchen
"Hello, I'm interested in upgrading my kitchen tools. Any suggestions?",1,3.0,Home & Kitchen
Can you help me find some trendy home decor?,1,4.0,Home & Kitchen
I'm looking for a new set of storage containers for my pantry.,1,4.0,Home & Kitchen
Good morning! Any deals on kitchen gadgets today?,1,2.0,Home & Kitchen
"I need a new set of bed sheets, preferably cotton. Any recommendations?",1,4.0,Home & Kitchen
Could you find me a stylish lamp for my living room?,1,4.0,Home & Kitchen
"I'm redoing my kitchen, need some modern yet affordable faucets.",1,4.0,Home & Kitchen
Do you have eco-friendly cleaning supplies?,1,3.0,Home & Kitchen
"Looking for the latest in robotic vacuum cleaners, any ideas?",1,4.0,Home & Kitchen
Can you recommend a good air purifier that's not too expensive?,1,4.0,Home & Kitchen
I need new dinnerware sets for a party I'm hosting next month.,1,4.0,Home & Kitchen
Can you suggest some good spice racks?,1,3.0,Home & Kitchen
"I'm searching for unique wall art for my office, any suggestions?",1,4.0,Home & Kitchen
"I heard bamboo cutting boards are great, do you have any on Amazon?",1,4.0,Home & Kitchen
"Need a new slow cooker, which one do you recommend?",1,4.0,Home & Kitchen
Are there any good deals on table lamps today?,1,2.0,Home & Kitchen
"I'm looking for a gift for a home chef, any kitchen gadget recommendations?",1,4.0,Home & Kitchen
Can you find me a compact food processor with good reviews?,1,4.0,Home & Kitchen
Good morning! Can you help me find some organic skincare products on Amazon?,1,4.0,Beauty & Personal Care
I heard Amazon has great deals on haircare. Any suggestions?,1,3.0,Beauty & Personal Care
I'm looking to buy a new mascara that doesn't smudge. Any ideas?,1,4.0,Beauty & Personal Care
Could you find me some affordable anti-aging face creams?,1,4.0,Beauty & Personal Care
What's the best selling shampoo on Amazon right now?,1,2.0,Beauty & Personal Care
I need a waterproof eyeliner. Any good brands?,1,4.0,Beauty & Personal Care
Is there a natural body wash you'd recommend from Amazon?,1,4.0,Beauty & Personal Care
"I'm trying to find a good facial cleanser for sensitive skin, any suggestions?",1,4.0,Beauty & Personal Care
Can you recommend a hair conditioner that's good for curly hair?,1,3.0,Beauty & Personal Care
Do they sell organic lip balms on Amazon?,1,2.0,Beauty & Personal Care
What are the top-rated skincare products for men?,1,2.0,Beauty & Personal Care
Can you find me a deal on luxury perfumes on Amazon?,1,3.0,Beauty & Personal Care
"I need a new nail polish set, preferably in pastel colors. Any recommendations?",1,4.0,Beauty & Personal Care
Greetings! Looking for a birthday gift in the beauty section of Amazon. Any ideas?,1,3.0,Beauty & Personal Care
"Hi there, can you assist me in finding an eco-friendly makeup remover?",1,4.0,Beauty & Personal Care
I'm searching for the latest trends in beauty products on Amazon. Can you help?,1,3.0,Beauty & Personal Care
"Hello, I'm trying to find a gift set of beauty products. Any suggestions?",1,4.0,Beauty & Personal Care
Can you find a hair styling tool that also protects from heat damage?,1,4.0,Beauty & Personal Care
"I'm looking for vegan skincare products, particularly moisturizers. Any recommendations?",1,4.0,Beauty & Personal Care
What are some popular body scrubs on Amazon right now?,1,3.0,Beauty & Personal Care
"Hi there, I'm looking to buy a new facial cleanser. Any recommendations?",1,4.0,Beauty & Personal Care
"Good morning, could you help me find some organic skincare products on Amazon?",1,4.0,Beauty & Personal Care
"I need a new moisturizing cream that's good for dry skin, any ideas?",1,4.0,Beauty & Personal Care
